Modelo,Limiar Ótimo,Acurácia Global (50%),Acurácia Global (Ótimo),Acurácia Balanceada,F1-Score Classe 1,F1-Score Macro,ROC-AUC
Logistic Regression,0.21999999999999997,0.7893156140985841,0.6694907334247502,0.6782128382647026,0.4683069572027406,0.6142632916984436,0.7384495144648724
LDA,0.4699999999999999,0.6856560517779556,0.6594064192294817,0.6824071265632937,0.47096239941670764,0.6099122613392849,0.7415061541246039
Random Forest,0.5399999999999999,0.6551027759794601,0.7072596527179519,0.6939736262424713,0.4904738244592912,0.6425545465267353,0.7699242195502024
Neural Network (MLP),0.5399999999999999,0.6769510614039113,0.7149578683903329,0.7016162271475408,0.4999306912541306,0.6502998987037237,0.7790300953603237
XGBoost,0.5599999999999999,0.6691823290224685,0.7220375760603419,0.7022677945015448,0.5023462823783166,0.6547557747525361,0.7812308975403387
Stacking Ensemble,0.26999999999999996,0.8050820457661938,0.7287090514568072,0.706098582600347,0.5080198784827211,0.6603692037259657,0.7865922701687053
